EventCount;s1;sd;dt;s2d;s3d;s4d;s5d;s6d;s7d;s8d;s9d;s10d;s2;s3;s4;s5;s6;s7;s8;s9;s10;s234;s567;s8910;s99
11;2;6;18;0;0;0;0;12.71717556640553;0;0;0;0;100.12504077656635;12.08533035602878;1.248086660047205;100.9241562401675;28.784865439247596;1.236273009568767;80.95830146796264;12.08533035602878;1.248086660047205;383.75040809569765;953.7955215645603;310.28982346578584;954.063660187463
12;2;6;18;0;0;0;0;12.97851020829355;0;0;0;0;100.04416582284527;12.090896282905947;1.160018715307937;101.41749366019455;29.179165426684406;1.152398776483749;81.25184278012878;12.090896282905947;1.160018715307937;483.02977711837246;1202.3449656616526;392.29733373998073;1202.6277559388318
13;2;6;18;0;0;0;0;13.2306542816341;0;0;0;0;100.00797572362293;12.02504854953597;0.924830301678666;101.36904825727369;29.391949326220953;0.9284098111225392;81.36661640942178;12.02504854953597;0.924830301678666;723.9297118184971;1785.0025626542813;588.9901354638201;1785.2642852151955
14;2;6;18;0;0;0;0;13.47282976411814;0;0;0;0;100.0000747167005;11.878788210598392;0.758752562023205;101.05656979841355;29.38908763011655;0.770240535260195;81.22268624868856;11.878788210598392;0.758752562023205;862.0381671542824;2131.6688821011044;700.170032707723;2131.871023620901
15;2;6;18;0;0;0;0;13.70428939277972;0;0;0;0;99.99842281739994;11.659207273423045;0.814476604274047;100.85996921483891;29.267740053577405;0.823311051689569;80.83059855068309;11.659207273423045;0.814476604274047;800.0995331380866;2006.7210909431888;646.7354418355923;2006.8289585064658
16;3;6;18;0;0;0;0;13.92431896977012;0;0;0;0;99.97974384188025;11.388600401738195;1.0407700009703555;100.2900421775581;22.35075988662325;1.0407700009703555;80.32615602277276;11.247655709130903;1.0388285723527195;575.6409628960201;1133.2335493272699;458.27277992142234;458.2617016893603
17;3;6;18;0;0;0;0;14.13223956610525;0;0;0;0;99.92413854998284;11.100787239330943;1.229579646795012;99.75140044909865;22.166907022383565;1.229579646795012;79.91803688286298;11.044238367125145;1.218647282661916;371.1881433145263;739.9357398236699;304.4343315078668;304.294325089104
18;3;6;18;0;0;0;0;14.32740961658657;0;0;0;0;99.81913718492217;10.835303337221509;1.20731482411712;99.35639537316287;21.999008145514793;1.20731482411712;79.39867982855338;10.91514105773473;1.197442689635352;384.5312594179102;777.0978229442542;316.1011844880164;315.8392403991001
19;1;6;18;0;0;0;0;14.50922689943146;0;0;0;0;99.805337169896;10.773326027423847;0.9947101983116609;99.1829284116038;21.885117595956675;0.9944457082272439;79.1829284116038;10.630504146240948;0.9944457082272439;585.7301390588917;1182.9233168498222;458.72900530037884;585.3696871931652
20;1;6;18;0;0;0;0;14.67713039450425;0;0;0;0;99.53789072914036;10.59132048453461;0.796841126265058;99.21739455859269;21.855389418836854;0.786683182578311;79.21739455859269;10.516824221584738;0.786683182578311;736.879753008249;1531.3433437089416;588.3440656766508;736.4573794788596
21;1;6;18;0;0;0;0;14.83060201441462;0;0;0;0;99.17910355227289;10.449086022026071;0.785755385815212;99.36597279956979;21.92670790511553;0.775043155105973;79.36597279956979;10.51140689790822;0.775043155105973;732.5348486212496;1556.4923677149104;595.9791512930966;732.0948187675389
22;1;6;18;0;0;0;0;14.96916820314151;0;0;0;0;98.88231015929486;10.473232583308416;0.9716451556072004;99.49971833567632;22.09965717371474;0.9702274133875606;79.49971833567632;10.61507307214398;0.9702274133875606;584.0278569957311;1242.6300764563664;476.8953096725095;583.6153897525585
23;2;6;18;0;0;0;0;15.09240139724996;0;0;0;0;98.84296448785925;10.812175959314832;1.192784450497307;99.64883736033687;29.81362474608031;1.183604238568864;79.51384130138611;10.812175959314832;1.192784450497307;394.43155959839726;1121.779078619525;317.29894582448884;1121.433537705359
24;2;6;18;0;0;0;0;15.19992134519183;0;0;0;0;98.72826325947771;11.073368027017583;1.238096352890874;99.45990741891003;30.31684605070597;1.226758431324642;79.37553480805425;11.073368027017583;1.238096352890874;357.0526582749691;1017.0374871703094;287.0631445296118;1016.7866660353371
25;1;6;18;0;0;0;0;15.29139628061995;0;0;0;0;98.8425998750062;11.498801074074462;1.0614319680706283;99.13968743917503;23.006479056244643;1.06450356647416;79.13968743917503;11.360780915934663;1.06450356647416;554.2176660240076;1106.074304133034;436.0026356395421;554.0741442787998
26;1;6;18;0;0;0;0;15.36654394609501;0;0;0;0;98.89204131144781;11.740272563676584;0.839625236680515;98.92564826265331;23.31795599582222;0.831606498514541;78.92564826265331;11.634684022774717;0.831606498514541;775.2613146601527;1554.0289320937864;618.6321232479993;775.2214898681241
27;1;6;18;0;0;0;0;15.42513246402638;0;0;0;0;98.95178086555146;11.836500543675024;0.765266323080222;98.86497740504996;23.572987469582948;0.753529639234233;78.86497740504996;11.860421237569762;0.753529639234233;844.6978456453091;1699.6145246872165;682.146466920369;844.7437634944524
28;3;6;18;0;0;0;0;15.46698105215969;0;0;0;0;99.26055040850646;12.014376210551752;0.9020564929856666;99.04262767208763;23.747866736631593;0.9020564929856666;78.96119902080265;11.882938857511302;0.9067204695101588;739.3805443580446;1458.2664011338552;578.2984980649508;578.4021028929589
29;3;6;18;0;0;0;0;15.49196058140321;0;0;0;0;99.6167662574006;12.087893334728006;1.140632155396454;99.45689899952235;23.83387362542961;1.140632155396454;79.29640412299288;11.969782218772822;1.133935386091861;502.1575151300425;988.5222618828831;401.5873263626914;401.71632321854645
30;3;6;18;0;0;0;0;15.499993974272;0;0;0;0;100.01065775696266;12.088452365097272;1.249911262694155;100.0155422298245;23.838449352233273;1.249911262694155;80.02146203054478;12.092258301539234;1.238010726375385;381.3183671660645;751.9972169608257;316.10585552911994;316.230092055504
31;3;6;18;0;0;0;0;15.49105644272011;0;0;0;0;100.40349550267977;12.037892176257198;1.129423107595686;100.56996818924712;23.783420397617252;1.129423107595686;80.73324818488832;12.16011600468354;1.123260102472082;516.311387139616;1021.7744692122105;424.83757562319863;424.9347678654902
32;3;6;18;0;0;0;0;15.46517556462732;0;0;0;0;100.7566913834735;11.968013568166775;0.889943944238985;100.97324204470641;23.70060135048044;0.889943944238985;81.04414142387326;12.096283264386384;0.895184708799033;759.0337062591927;1506.3668766084604;613.0753823256479;613.1351379485404
33;3;6;18;0;0;0;0;15.42243119870402;0;0;0;0;101.03695662286171;11.914365588286238;0.751649810999456;101.13737865572953;23.625581187638247;0.751649810999456;81.0074550558961;11.930750585140814;0.763476010475672;879.445698338367;1745.6293878051285;698.2206657348537;698.2460772285798
34;3;6;18;0;0;0;0;15.36295523807718;0;0;0;0;101.22066141374947;11.909348699594025;0.84168769620145;101.06575338238962;23.590826318632615;0.84168769620145;80.93372817854355;11.798784706538758;0.849226377334714;803.0917494666878;1588.3827173506581;630.7856821480091;630.7922132700728
35;1;6;18;0;0;0;0;15.28693120331742;0;0;0;0;101.16088261667798;11.840030840181566;1.073597317544035;100.84707667158328;23.619357399482354;1.077277183421237;80.84707667158328;11.975891797823643;1.077277183421237;571.2845318540865;1128.3932186783775;458.6709772350633;571.2964208199851
36;1;6;18;0;0;0;0;15.19459367616323;0;0;0;0;101.23149179728101;12.086608211164604;1.230303223414789;100.61379741945181;23.72015303357389;1.241818384585528;80.61379741945181;12.122856195492272;1.241818384585528;408.60533752859;771.0448779187175;315.7322629354227;408.6501994227911
37;1;6;18;0;0;0;0;15.08622757568938;0;0;0;0;101.24549630669402;12.439698256100336;1.175269407775717;100.48297221300643;23.886120825333567;1.184032878164503;80.48297221300643;12.343007037488881;1.184032878164503;485.2643047303067;905.3189732608625;374.70415395991097;485.3669498505533
38;1;6;18;0;0;0;0;14.96216727915329;0;0;0;0;101.10563160175924;12.75466071235665;0.959093706923937;100.50507176238699;24.09501139085968;0.957048392270134;80.50507176238699;12.613927751283043;0.957048392270134;740.5501440783419;1394.7260089673216;584.8538678747416;740.7267776551588
39;1;6;18;0;0;0;0;14.82279559023184;0;0;0;0;100.80198219269212;12.957105625718135;0.780527063277254;100.64271325187181;24.313117952686063;0.769553416441116;80.64271325187181;12.901720157570148;0.769553416441116;928.0412791043656;1757.4435469538896;747.2589732911908;928.2951838760912
40;2;6;18;0;0;0;0;14.6685425578324;0;0;0;0;100.52520398508344;13.166828192035677;0.793929966777267;100.64787984254879;31.75448758109838;0.803742825502159;80.78840449625;13.166828192035677;0.793929966777267;927.9060885396998;2218.093167310551;745.7239522399035;2218.4127051514665
41;2;6;18;0;0;0;0;14.49988414912266;0;0;0;0;100.3279371090977;13.370938117623943;1.0077663553177496;100.73784288974805;31.728034073414214;1.0073965288740472;80.81359347395464;13.370938117623943;1.0077663553177496;716.0154500800838;1706.9814608375846;576.7464494054198;1707.3408108999197
42;2;6;18;0;0;0;0;14.3173407808741;0;0;0;0;100.173936332557;13.48371231009678;1.214462392595476;100.78285817577573;31.727638679524148;1.204249897709977;80.62783129270571;13.48371231009678;1.214462392595476;471.1850572192185;1145.999566116096;379.24664530496057;1146.3621204674494
43;2;6;18;0;0;0;0;14.12147571365037;0;0;0;0;100.07172217446978;13.488142615353633;1.223982695164918;100.26852886517493;31.673074570759123;1.213316852538018;80.2224577275385;13.488142615353633;1.223982695164918;458.79467957812903;1111.2618104105227;367.7925790455291;1111.5856637891536
44;2;6;18;0;0;0;0;13.91289331379589;0;0;0;0;100.01847984407492;13.383557698902674;1.027574340748856;99.51594704755165;31.438436531629392;1.0262612769036723;79.67979411613292;13.383557698902674;1.027574340748856;691.9197151351361;1620.6921150631479;551.2183401788325;1620.9367008919598
45;2;6;18;0;0;0;0;13.69223718858733;0;0;0;0;100.00125919717705;13.185741827493192;0.805814264613883;99.1288628959433;30.967952980881762;0.815061204394174;79.14356598810703;13.185741827493192;0.805814264613883;913.1558426608995;2105.3543823539953;722.6949967555834;2105.4870923210333
46;2;6;18;0;0;0;0;13.46018820030221;0;0;0;0;99.99987067300161;12.924143651737705;0.762587658059505;98.92953031805192;30.339572614409548;0.773893007675719;78.76286838517326;12.924143651737705;0.762587658059505;934.4801521476809;2146.6437814397254;736.0243241998141;2146.645399927585
47;2;6;18;0;0;0;0;13.21746236533264;0;0;0;0;99.99098606443064;12.636678562727123;0.9376368638021078;98.61612277359382;29.715799924657283;0.9406065369543885;78.63332662449824;12.636678562727123;0.9376368638021078;747.6382338258154;1726.912734762085;587.94581143051;1726.7807236382075
48;2;6;18;0;0;0;0;12.96480864482651;0;0;0;0;99.95276029047467;12.363062140380706;1.170022449362715;98.59696934527162;29.223138096568675;1.161926142250205;78.76033765085411;12.363062140380706;1.170022449362715;482.0935496032978;1145.5318959723177;379.8779607057348;1145.2809432009317
49;2;6;18;0;0;0;0;12.70300663367347;0;0;0;0;99.86920706927226;12.137876632008668;1.24609017907794;99.10835265765328;28.86604964274219;1.234371599121848;79.05987241906195;12.137876632008668;1.24609017907794;386.72856959470516;944.4131651758028;306.1475330604773;944.0728944501216
50;3;6;18;0;0;0;0;12.43286415496657;0;0;0;0;99.7336007198719;11.984619494027957;1.095903733051914;99.3963021242875;22.20105157151124;1.095903733051914;79.56296864028907;12.116547085778308;1.0913368886208703;546.5284152079329;1008.9990821507381;444.70597238880583;444.31621345731173
51;3;6;18;0;0;0;0;12.15521476736252;0;0;0;0;99.55033202321819;11.911804303888063;0.857543837140683;99.64093554499736;21.98941168756932;0.857543837140683;79.68035958492584;12.029199490888665;0.864327463943508;775.8809951121772;1433.5942757266216;622.2061511986386;621.8106013235215
52;1;6;18;0;0;0;0;11.87091519303131;0;0;0;0;99.3298236761927;11.906742341792864;0.762054743230528;99.72617186347144;21.84726974959038;0.750157480392054;79.72617186347144;11.911812153074722;0.750157480392054;855.5836686334704;1593.9292591568599;694.7706617906772;855.2230571740997
53;1;6;18;0;0;0;0;11.58084267413199;0;0;0;0;98.98909564693004;11.839819659355463;0.878547794250627;99.67213878829686;21.753114644873875;0.872475183963158;79.67213878829686;11.962693307807873;0.872475183963158;748.0604627411378;1393.9935171250104;612.7749065319331;747.766412649628
54;1;6;18;0;0;0;0;11.28589226597149;0;0;0;0;98.78420210547937;11.90487660507023;1.106703443131157;99.57455249749466;21.67553075795265;1.112038615287714;79.57455249749466;12.032584624966908;1.112038615287714;526.3976453587252;955.7837863707206;424.0086190122835;526.1882929358064
55;1;6;18;0;0;0;0;10.986974075198678;0;0;0;0;98.75100634097205;12.070806367076647;1.236756438485041;99.5592169939153;21.579421631479633;1.248594260409293;79.5592169939153;12.085934593880298;1.248594260409293;390.81323866078077;680.3135141989144;304.47985566336814;390.6913504581267
56;1;6;18;0;0;0;0;10.685010451555703;0;0;0;0;98.81353584045188;12.201761005447539;1.149136656154035;99.7229279759956;21.43290584298013;1.156593488961737;79.7229279759956;12.090400617202276;1.156593488961737;493.46290200109223;860.1993910649644;387.92430028687505;493.4167737741959
57;3;6;18;0;0;0;0;10.380933141851344;0;0;0;0;98.73915289782437;12.023161446269052;0.9206213859306344;100.08641247334843;21.213628017194722;0.9206213859306344;79.92046277895413;12.158626222175274;0.9244013199339376;718.6164639953419;1285.2249824998466;585.2810300996346;585.2879494210232
58;3;6;18;0;0;0;0;10.075680414939267;0;0;0;0;98.88439597304941;11.875493562814796;0.757629614601672;100.57980549564397;20.91333377028443;0.757629614601672;80.52575855547128;11.910517036141618;0.769171061525402;853.0909093826995;1528.093543102582;689.1037949970819;689.1353875716799
59;3;6;18;0;0;0;0;9.770194166570974;0;0;0;0;99.13176067031402;11.654774597033976;0.817472057859633;101.06723409851732;20.539871680319465;0.817472057859633;81.20775605081029;11.55715634792374;0.826163864628222;790.3428734998491;1420.06083504878;636.0437721795196;636.07221546496
60;1;6;18;0;0;0;0;9.465417013057838;0;0;0;0;99.32142047428373;11.243032532429467;1.0429808089054426;101.40031297937088;20.116251242463356;1.0451298493507148;81.40031297937088;11.383542735934432;1.0451298493507148;562.4098814428676;1023.5475265197725;464.97026827257054;562.4138185515567
61;1;6;18;0;0;0;0;9.162289382709712;0;0;0;0;99.79046241821868;11.041556506263897;1.220281395691155;101.47793494418482;19.676918922411993;1.231295465475712;81.47793494418482;11.09577423105713;1.231295465475712;378.3521404533766;664.9583591367309;301.06714043860364;378.3211894960143
62;1;6;18;0;0;0;0;8.86174661402487;0;0;0;0;100.32469483737233;10.912967391134849;1.195056283158123;101.28698571907235;19.26191841809174;1.20480909731603;81.28698571907235;10.831045111079302;1.20480909731603;401.7636757166021;698.2003704754031;315.07813999081503;401.70069317334804
63;2;6;18;0;0;0;0;8.56471606958525;0;0;0;0;100.6169150211958;10.627626863582034;0.9900221896095336;100.74041063649928;23.33508625159249;0.9904973234376511;80.90670851478197;10.627626863582034;0.9900221896095336;586.7046717667241;1288.8749782184163;471.77300012519277;1288.7956515719616
64;2;6;18;0;0;0;0;8.2721142745623;0;0;0;0;100.93102258034895;10.515759755962506;0.784408834761002;100.50187608469706;22.86020083865408;0.794675080724764;80.47492712630331;10.515759755962506;0.784408834761002;751.2414915368096;1609.4322124663827;598.9843631828076;1609.36205142325
65;2;6;18;0;0;0;0;7.9848440886632;0;0;0;0;101.15699895040675;10.512316522517533;0.777009002983607;100.29172051004622;22.432573975172176;0.78762762188915;80.13058193158899;10.512316522517533;0.777009002983607;758.2149414237086;1587.2991697261448;600.6129592208795;1587.2684470787726
66;2;6;18;0;0;0;0;7.70379192024316;0;0;0;0;101.27831538884622;10.617818925848473;0.9746260654874128;99.89929114417677;22.179491421234985;0.9758343480832504;79.95708961547433;10.617818925848473;0.9746260654874128;603.7875546934115;1241.8581511935124;476.6775141744329;1241.8957261555042
67;3;6;18;0;0;0;0;7.42982499118119;0;0;0;0;101.29185685135911;10.816345439488675;1.195571806364197;99.95060376051042;18.53125793507927;1.195571806364197;79.82039989804456;10.727357169579824;1.186258863203997;401.5198902859584;678.8007375281114;321.20989962972453;321.33706881948615
68;3;6;18;0;0;0;0;7.16378866095744;0;0;0;0;101.20777439827322;11.07834670811243;1.236709730395333;100.02652036304158;18.660241038591153;1.236709730395333;80.09701385850248;11.124304998115143;1.225437838471746;367.6535190812655;612.0435288002144;301.64180521235755;301.8673305504589
69;3;6;18;0;0;0;0;6.90650381819005;0;0;0;0;101.04739264329275;11.365860839206148;1.0602178199438512;100.06114037612221;18.819112748301166;1.0602178199438512;80.22450967619979;11.50451184923944;1.0573503047084298;561.2467466675241;920.2185482338772;453.33324406387385;453.6505015848401
70;3;6;18;0;0;0;0;6.65876434767993;0;0;0;0;100.83952214403568;11.639187827805106;0.828361923544698;99.95031052219846;18.96857000164507;0.828361923544698;79.95667822214251;11.743056458666262;0.836535165280665;793.5127036581677;1281.7967544433734;629.1234824262104;629.5102982105561
71;3;6;18;0;0;0;0;6.42133468077912;0;0;0;0;100.61577172096074;11.863819762701016;0.754309283089005;99.65957836919075;19.074487103090572;0.754309283089005;79.49920491367789;11.837409674191022;0.766008841037148;869.8933641557861;1385.311149443808;678.2096116660028;678.6308688758812
72;3;6;18;0;0;0;0;6.19494743664159;0;0;0;0;100.40560633302738;12.016378390983318;0.9061435547004884;99.24403866839214;19.113852109304123;0.9061435547004884;79.16221924345399;11.8839708966819;0.9106129092385604;744.1593876828092;1170.003219317946;576.9330404038247;577.3456418272814
73;3;6;18;0;0;0;0;5.98030116163447;0;0;0;0;100.23192884073839;12.088492256072954;1.144269009279169;98.82905559300164;19.07864283689019;1.144269009279169;78.95093504257152;11.97182219561239;1.137399056456351;501.2750346304176;780.0635305153174;396.93713719617307;397.29648106808435
74;2;6;18;0;0;0;0;5.77805817388533;0;0;0;0;100.10787388485498;12.0879192766056;1.249754202057206;98.40975054694343;21.872310739407112;1.237861144816386;78.5598478067663;12.0879192766056;1.249754202057206;381.85255101623176;703.4598971327806;299.6595285498216;703.7267474977245
75;2;6;18;0;0;0;0;5.58884251961589;0;0;0;0;100.03530372192526;12.036719694041986;1.125616533264362;98.48357542464734;21.74907605532873;1.119634793585107;78.54132205770676;12.036719694041986;1.125616533264362;518.5084004842074;933.9039329983974;407.0996313987381;934.0504896365601
76;3;6;18;0;0;0;0;5.41323804756909;0;0;0;0;100.00522078669604;11.966818499350024;0.885987603098588;98.79379449585565;18.673437523134567;0.885987603098588;78.62809534646019;12.093954837356627;0.891416764855798;756.9705516267292;1166.8943755928713;597.4759012120169;597.4900121493055
77;3;6;18;0;0;0;0;5.25178660747004;0;0;0;0;100.00000367808745;11.913769117615349;0.751181144848865;99.24352086819307;18.539662421350368;0.751181144848865;79.22197134631925;11.927639389113695;0.763029661760824;870.7574547895583;1344.7823215238268;682.9446936453704;682.8314808221614
78;3;6;18;0;0;0;0;5.10498637808045;0;0;0;0;99.99708104556369;11.90985577828356;0.845137594538154;99.75213867198192;18.462348967323784;0.845137594538154;79.9076993069145;11.797707719624107;0.852511994798242;790.3487345672654;1222.177004420417;620.4032920084577;620.1839188758361
79;2;6;18;0;0;0;0;4.97329033000529;0;0;0;0;99.97342779459497;11.977791718800164;1.081473825624491;100.1774897836107;20.816024067922427;1.0775941196423724;80.1725462555287;11.977791718800164;1.081473825624491;562.8401506799257;987.2815535652403;451.36321730977716;986.9893697223289
80;2;6;18;0;0;0;0;4.85710482799495;0;0;0;0;99.91013657600286;12.126162503733536;1.242903397167468;100.57285473903721;20.949471113393948;1.231336568730922;80.40749961959366;12.126162503733536;1.242903397167468;390.17083302576685;701.566796171973;314.00879013142287;701.2415574893196
81;2;6;18;0;0;0;0;4.75678837705554;0;0;0;0;99.79630549288927;12.347447802583591;1.181008705561084;100.4095073047583;21.202773811130623;1.172389243391509;80.44610759027124;12.347447802583591;1.181008705561084;468.2373877061643;825.9314980659336;377.44759270553834;825.6126976935451
82;3;6;18;0;0;0;0;4.67265051623656;0;0;0;0;99.6315922558125;12.618988109970395;0.9526954448262538;100.36291722751993;18.955313368088678;0.9526954448262538;80.40476799125409;12.759264547324193;0.9549480426916704;728.5617987101068;1102.4249625297832;592.6156317498403;592.336127481082
83;3;6;18;0;0;0;0;4.60495086350915;0;0;0;0;99.42699833277044;12.906729566556516;0.767873773962032;100.28032796293382;19.209204998311098;0.767873773962032;80.4469723307691;12.959775300187482;0.778927403773364;923.175869914324;1385.7632583793181;741.9664818652603;741.7475418029167
84;3;6;18;0;0;0;0;4.5538983146821;0;0;0;0;99.20373018676887;13.171076728560537;0.79646788481218;100.31078178302045;19.448025885901586;0.79646788481218;80.34733305267464;13.088121755601298;0.806159890297315;913.6358878967778;1364.1025075149864;727.9930660266496;727.8416892608388
85;3;6;18;0;0;0;0;4.51965039882759;0;0;0;0;98.99029354106892;13.373800893009875;1.01218848372957;100.50382054564136;19.63362609242368;1.01218848372957;80.35437264175528;13.231113633032699;1.0116080797424476;701.6627026380838;1045.8370276255218;564.0139929401618;563.9229433219857
86;2;6;18;0;0;0;0;4.50231279220531;0;0;0;0;98.818261790656;13.48475957387592;1.216703046916066;100.69358750291673;21.915838827873106;1.206383854205777;80.8209797889181;13.48475957387592;1.216703046916066;462.0451462541282;786.4988764007489;377.8951455964956;786.4493714852315
87;2;6;18;0;0;0;0;4.50193899218508;0;0;0;0;98.71737591697666;13.487215694012477;1.221981828145234;101.26867922149668;22.05486665627676;1.211411264900223;81.14951207337732;13.487215694012477;1.221981828145234;455.05884097565433;785.5074006528604;374.0760181967146;785.4739144178889
88;2;6;18;0;0;0;0;4.51853015217395;0;0;0;0;98.71074614655369;13.380797070052953;1.0231715402993242;101.45381211895103;22.041569418348885;1.022068133618404;81.34923403739917;13.380797070052953;1.0231715402993242;687.7036419847974;1166.4082927967409;566.7484717128386;1166.3645473981833
89;3;6;18;0;0;0;0;4.55203507805725;0;0;0;0;98.81091700815136;13.181562264197943;0.803057445163249;101.31252523924418;19.45757980322656;0.803057445163249;81.28558123880991;13.269557867231642;0.812435662060237;904.5871846108679;1369.0855171723188;741.8043429493005;741.7293509258363
90;3;6;18;0;0;0;0;4.60235038616446;0;0;0;0;99.01742844516309;12.919160921586407;0.764011426696957;101.01178769549338;19.220336114668633;0.764011426696957;80.84559063861994;12.872007179915165;0.775248977806626;923.6835830583456;1401.8782867538264;743.2773757963766;743.1603884224562
91;1;6;18;0;0;0;0;4.66932082227257;0;0;0;0;99.17732615046259;12.492650751433198;0.9446973468651602;100.51395732088574;18.966261316313744;0.9419322142084182;80.51395732088574;12.631600905177464;0.9419322142084182;726.0321110722333;1121.3797891577376;598.2382693017513;725.8755318717483
92;1;6;18;0;0;0;0;4.7527397406625;0;0;0;0;99.57838534590846;12.255569658396418;1.164990720174614;99.95568564616826;18.734935963993948;1.173240256183345;79.95568564616826;12.358566093662695;1.173240256183345;481.7599543525246;725.0319112604485;382.5734634639067;481.57965213629285
93;1;6;18;0;0;0;0;4.8523497417506;0;0;0;0;100.1055191236581;12.162141320612996;1.233592386249218;99.48958054748144;18.560664460685164;1.245272005561679;79.48958054748144;12.134489589809867;1.245272005561679;402.8087871926589;590.5507217033245;308.4734593149149;402.6317221858683
94;1;6;18;0;0;0;0;4.96784346632739;0;0;0;0;100.59953283323428;12.1155071577088;1.0874302896727728;99.2242312226101;18.466551867777866;1.0918018041564117;79.2242312226101;11.982630134614169;1.0918018041564117;566.4588576734911;844.4969688867409;437.5268703488391;566.3184303249576
95;1;6;18;0;0;0;0;5.09886454395318;0;0;0;0;100.9256374726561;12.027152767674298;0.860885187976619;99.18336602124117;18.460649246504175;0.85392944737545;79.18336602124117;11.911216974527584;0.85392944737545;791.145355386409;1203.0074890632511;619.6873236927947;791.0753101795192
96;1;6;18;0;0;0;0;5.24500869258398;0;0;0;0;101.06747155319482;11.904757055852608;0.762241602893936;99.30128096931462;18.534857672499584;0.750353683038633;79.30128096931462;11.912353326207594;0.750353683038633;870.2506177012439;1346.2552444531657;690.9729892632123;870.2786068232614
97;1;6;18;0;0;0;0;5.40582496603466;0;0;0;0;101.11693713122256;11.83972443569361;0.882191991631543;99.45614907504778;18.666781276635245;0.87630159121312;79.45614907504778;11.963868793617916;0.87630159121312;760.7707903787796;1188.1717204512206;608.3833047060573;760.9127747092821
98;2;6;18;0;0;0;0;5.58081714543023;0;0;0;0;101.2989497823879;12.033777034154818;1.115977245961825;99.57274912556832;21.488039484245988;1.110454519963642;79.52662487920657;12.033777034154818;1.115977245961825;535.5103917832091;950.5369151908451;420.4123945780983;950.7934391671622
99;2;6;18;0;0;0;0;5.76944527035171;0;0;0;0;101.2534535118032;12.086523257143462;1.249023955629701;99.60223556826672;21.84335729799921;1.237165672028286;79.44722898419737;12.086523257143462;1.249023955629701;387.0255715019962;712.4714617866609;303.67467118812704;712.826509360112
100;2;6;18;0;0;0;0;5.97112730495204;0;0;0;0;101.12163757935437;12.089882102459224;1.153119188924441;99.16278296816958;22.17393634999732;1.145827798975658;79.23858277491678;12.089882102459224;1.153119188924441;495.9126586411204;906.5599441532505;388.5955290234176;906.9826244534316
